param n:=10;					
param nv1:=10;					
param nv2:=10;					
param m1:=6;					
param m2:=2;					
param P1 :=					
1	1				
2	6				
3	5				
4	2				
5	3
6	8
7	9
8	4
9	5
10	12			
;					
param P2 :=					
1	9				
2	6				
3	5				
4	2				
5	7
6	8
7	12
8	8
9	5
10	1	
				
; 					
param r :=					
1	6				
2	8				
3	5
4	8				
5	4	
6	8
7	1
8	1
9	5
10	1							
;					
param W :=					
1	50				
2	30				
3	30				
4	50				
5	30	
6	80
7	10
8	10
9	50
10	10			
; 					
param D :=					
1	6				
2	2				
3	50				
4	42				
5	20	
6	8
7	19
8	14
9	54
10	176			
;					
					
param S : 1 2 3 4 5 6 7 8 9 10:= 					
1	0	1	0	0	0	1	0	1	1	0
2	1	0	1	1	0	0	1	0	0	0
3	0	0	0	1	0	0	1	0	1	1
4	0	1	0	1	1	1	0	1	1	0
5	0	0	1	0	0   1	0	1	1	0
6	0	1	0	0	0	0	1	0	0	0
7	1	0	1	1	0	0	1	0	0	0
8	0	0	0	1	0	0	0	0	1	0
9	0	1	0	0	0	0	1	0	0	0
10	0	0	1	0	1	1	0	0	1	1
;

param V : 1 2 3 4 5 6 7 8 9 10:= 					
1	0	1	0	0	0	0	1	0	0	0	
2	0	0	1	0	0	0	0	1	0	0	
3	0	0	0	1	0	0	0	0	1	0
4	0	0	0	0	1	0	0	0	1	0
5	1	0	0	0	0	1	0	0	0	0
6	0	1	0	0	0	0	1	0	0	0	
7	0	0	1	0	0	0	0	1	0	0	
8	0	0	0	1	0	0	0	0	1	0
9	0	0	0	0	1	0	0	0	1	0
10	1	0	0	0	0	1	0	0	0	0
;						
end;					
